timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1623577043151,0,52,1.142578125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043152,0,43,9.448242187500001E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043153,0,55,1.20849609375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043165,0,50,1.0986328125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043166,0,40,8.7890625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043181,0,44,9.66796875E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043182,0,33,7.2509765625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043201,0,26,5.712890625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043202,0,35,7.6904296875E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043203,0,48,1.0546875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043215,0,36,7.91015625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043216,0,25,5.4931640625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043231,0,9,1.9775390625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043232,0,27,5.9326171875000005E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043248,0,17,3.7353515625000003E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043249,0,20,4.39453125E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043267,0,11,2.4169921875E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043281,0,21,4.614257812500001E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043282,0,3,6.591796875E-7,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043283,0,-317,-6.96533203125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043299,0,-326,-7.163085937500001E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043300,0,-292,-6.416015625000001E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043301,0,-279,-6.13037109375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043317,0,-265,-5.82275390625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043318,0,-259,-5.69091796875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043319,0,18,3.955078125E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043334,0,1,2.197265625E-7,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043335,0,1,2.197265625E-7,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043352,0,4,8.7890625E-7,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043365,0,11,2.4169921875E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043366,0,19,4.1748046875E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043367,0,-313,-6.87744140625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043384,0,-332,-7.294921875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043385,0,-324,-7.119140625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043386,0,-296,-6.50390625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043387,0,-275,-6.04248046875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043397,0,25,5.4931640625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043398,0,34,7.4707031250000005E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043416,0,9,1.9775390625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043417,0,9,1.9775390625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043418,0,17,3.7353515625000003E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043435,0,20,4.39453125E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043436,0,16,3.515625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043437,0,-259,-5.69091796875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043438,0,7,1.5380859375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043450,0,23,5.0537109375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043451,0,28,6.15234375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043452,0,38,8.349609375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043453,0,65,1.42822265625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043472,0,89,1.95556640625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043473,0,93,2.04345703125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043474,0,87,1.91162109375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043475,0,92,2.021484375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043476,0,91,1.99951171875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043484,0,72,1.58203125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043485,0,71,1.56005859375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043486,0,92,2.021484375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043498,0,100,2.197265625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043499,0,102,2.2412109374999998E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043500,0,116,2.548828125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043517,0,103,2.26318359375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043518,0,90,1.9775390625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043519,0,25,5.4931640625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043532,0,23,5.0537109375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043533,0,24,5.2734375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043534,0,12,2.63671875E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043550,0,41,9.008789062499999E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
